,Point,X,Y,Phi
0,0.0,1.53,0.0,0.0
1,1.0,-50.23,169.69,1.55
2,2.0,-112.56,92.93,3.4
3,3.0,-14.48,-294.35,4.31
4,4.0,142.62,-269.03,-0.28
5,5.0,111.69,-84.42,1.25
6,6.0,-249.49,21.89,2.19
7,7.0,-300.68,-93.5,3.88
8,8.0,-111.1,-196.33,5.36
9,9.0,256.04,23.35,-0.11
10,10.0,185.47,167.1,1.6
11,11.0,87.29,76.13,3.35
12,12.0,164.84,-376.25,4.24
13,13.0,315.84,-372.36,5.94
14,14.0,260.59,-270.68,1.5
15,15.0,-214.73,-223.87,2.39
16,16.0,-261.34,-377.44,3.95
17,17.0,-118.79,-401.75,5.61
18,18.0,146.08,-77.72,0.16
19,19.0,73.88,24.0,1.78
20,20.0,-111.14,-86.94,3.21
21,21.0,-38.41,-133.26,5.09
22,22.0,281.64,8.01,-0.33
23,23.0,244.02,185.45,1.27
24,24.0,32.3,192.57,2.62
25,25.0,20.96,24.85,4.12
26,26.0,351.64,-165.08,5.12
27,27.0,463.73,-51.04,0.41
28,28.0,356.14,-8.17,2.18
29,29.0,-66.57,-188.79,2.64
