,Point,X,Y,Phi
0,0.0,0.0,0.0,0.0
1,1.0,-30.02,187.41,1.43
2,2.0,-90.9,120.92,3.24
3,3.0,-62.02,-301.91,4.05
4,4.0,45.91,-287.78,5.83
5,5.0,131.86,-18.42,0.7
6,6.0,-94.21,135.92,1.98
7,7.0,-242.45,-6.76,3.46
8,8.0,-137.99,-152.1,4.95
9,9.0,19.46,-38.15,0.13
10,10.0,-74.61,318.14,1.27
11,11.0,-209.9,285.28,2.92
12,12.0,-165.16,156.51,4.58
13,13.0,234.32,91.39,-0.82
14,14.0,308.09,236.56,0.77
15,15.0,212.9,243.09,2.52
16,16.0,210.78,92.07,4.23
17,17.0,448.62,41.38,5.57
18,18.0,437.89,152.98,1.07
19,19.0,366.52,136.12,2.84
20,20.0,347.31,-92.61,4.15
21,21.0,556.42,-181.82,5.4
22,22.0,723.14,61.48,0.46
23,23.0,571.51,155.18,2.11
24,24.0,462.02,-2.96,3.63
25,25.0,648.53,-356.06,4.58
26,26.0,747.3,-306.75,0.0
27,27.0,670.01,-145.64,1.45
28,28.0,280.09,-107.38,2.46
29,29.0,243.4,-256.7,4.03
