,Point,X,Y,Phi
0,0.0,0.76,0.01,0.02
1,1.0,-40.62,193.31,1.41
2,2.0,-86.97,128.64,3.33
3,3.0,-29.48,-262.19,4.16
4,4.0,121.12,-255.53,5.81
5,5.0,171.6,-31.5,0.88
6,6.0,-15.7,67.01,2.17
7,7.0,-263.12,-144.96,3.28
8,8.0,-186.67,-269.5,4.9
9,9.0,-86.01,-169.76,0.27
10,10.0,-159.08,255.96,0.98
11,11.0,-299.42,273.26,2.56
12,12.0,-288.19,165.84,4.29
13,13.0,65.18,-41.6,-1.27
14,14.0,167.39,58.96,0.37
15,15.0,37.22,196.84,1.91
16,16.0,-199.44,68.95,3.17
17,17.0,-115.81,-241.18,4.48
18,18.0,34.73,-185.8,-0.17
19,19.0,-17.18,-7.36,1.28
20,20.0,-347.56,86.89,2.25
21,21.0,-419.63,-33.87,3.77
22,22.0,-289.84,-76.45,5.33
23,23.0,74.41,32.93,-0.63
24,24.0,60.05,116.43,1.09
25,25.0,-179.02,189.19,2.27
26,26.0,-232.71,47.83,3.89
27,27.0,20.43,-228.97,4.84
28,28.0,143.61,-154.98,0.16
29,29.0,68.5,-88.56,1.93
