,Point,X,Y,Phi
0,0,124.87,-21.34,-0.27
1,1,92.05,136.15,1.38
2,2,-16.83,66.27,3.21
3,3,11.03,-404.2,4.12
4,4,130.59,-402.26,5.81
5,5,148.1,-177.06,1.06
6,6,-185.6,-36.51,2.26
7,7,-262.67,-198.32,3.91
8,8,-58.91,-303.09,5.38
9,9,142.62,-77.44,0.23
10,10,-0.32,132.83,1.68
11,11,-149.31,38.36,3.28
12,12,-34,-194.15,4.68
13,13,316.76,-109.58,-0.25
14,14,255.58,-1.68,1.59
15,15,-18.41,-75.18,2.93
16,16,-2.9,-439.31,4.31
17,17,89.25,-406.98,6.12
18,18,118.37,-17.15,0.98
19,19,-56.09,24.63,2.55
20,20,-103.48,-200.24,4.17
21,21,191.83,-290.37,5.41
22,22,332.03,-52.54,0.6
23,23,176.61,16.71,2.28
24,24,17.7,-223.91,3.66
25,25,236.53,-480.95,4.94
26,26,313.87,-373.19,0.43
27,27,72.7,-109.55,1.81
28,28,-181.79,-274.67,3.26
29,29,-93.32,-381.26,4.95
