,Point,X,Y,Phi
0,0.0,0.0,0.0,0.0
1,1.0,-31.97,170.18,1.52
2,2.0,-89.76,106.63,3.36
3,3.0,19.83,-68.72,4.93
4,4.0,195.7,43.07,0.25
5,5.0,105.13,131.37,1.9
6,6.0,-56.31,12.51,3.47
7,7.0,69.2,-137.13,5.06
8,8.0,267.33,25.02,0.21
9,9.0,170.33,327.36,1.47
10,10.0,82.46,261.45,3.29
11,11.0,166.77,122.11,4.88
12,12.0,443.52,247.25,0.06
13,13.0,374.23,272.52,1.97
14,14.0,223.28,146.72,3.54
15,15.0,380.41,-20.41,5.13
16,16.0,459.57,116.58,0.6
17,17.0,165.2,402.5,1.83
18,18.0,110.39,297.01,3.71
19,19.0,313.07,165.21,5.28
20,20.0,622.65,441.5,0.22
21,21.0,544.81,474.36,2.11
22,22.0,338.18,282.59,3.43
23,23.0,512.08,-45.07,4.69
24,24.0,595.33,41.23,0.3
25,25.0,435.83,227.31,1.81
26,26.0,87.87,43.07,3.21
27,27.0,165.19,8.44,5.12
28,28.0,537.23,223.07,0.02
29,29.0,468.56,344.21,1.7
