,LB,RB
869142,10908,10964
870318,10928,10944
871503,10936,11048
872692,11080,11052
873882,10948,11088
875074,10936,11116
876268,10920,11128
877456,10924,11088
878654,10916,11172
879854,10920,11184
881054,10924,11200
882259,10948,11240
883470,10968,11308
884686,10976,11360
885906,10992,11396
887130,11004,11432
888360,11004,11488
889591,11004,11504
890823,11004,11516
892056,11020,11520
893288,11016,11524
894522,11004,11540
895759,11044,11560
896998,11060,11592
898240,11072,11616
899483,11084,11608
900724,11088,11616
901964,11072,11584
903199,11044,11544
904430,11032,11508
905660,10992,11488
906890,11032,11492
908122,11032,11520
909357,11044,11540
910594,11044,11564
911830,11044,11564
913066,11004,11548
914295,10988,11496
915552,10960,11756
916763,10888,11308
917956,10808,11112
919162,10720,11256
920377,10660,11340
921623,10588,11660
922904,10556,12008
924261,10652,12752
925636,10420,12940
927066,10336,13496
928534,10284,13876
930042,10192,14260
931594,10052,14720
933150,10000,14760
934713,10048,14824
936280,10052,14856
937842,10080,14816
939412,10104,14908
940987,10092,14928
942563,10068,14952
944140,10044,14956
945716,10052,14964
947293,10036,14964
948872,10040,14972
950449,10040,14968
952026,10032,14960
953601,10040,14952
955175,10040,14940
956750,10040,14932
958322,10012,14924
959894,10000,14912
961458,9956,14864
962996,9876,14616
964424,10112,13476
965702,10352,11968
966883,10740,11000
968066,10704,11020
969276,10820,11296
970494,10884,11392
971702,10840,11272
972897,10800,11152
974086,10780,11088
975271,10760,11036
976452,10752,11004
977620,10728,10880
978794,10720,10940
979969,10732,10940
981142,10724,10924
982313,10732,10912
983490,10736,10960
984669,10744,10980
985850,10752,11000
987031,10744,11008
988214,10780,11020
989398,10768,11032
990584,10796,11064
991803,10932,11384
992989,10788,11056
994174,10756,11052
995358,10780,11028
996540,10776,11024
997722,10768,11000
998902,10752,10992
1000080,10740,10972
1001260,10744,10952
1002438,10740,10932
1003614,10748,10924
1004791,10732,10920
1005966,10732,10912
1007144,10736,10916
1008321,10744,10940
1009501,10760,10948
1010682,10760,10964
1011863,10756,10968
1013046,10772,10980
1014228,10764,10992
1015414,10772,11004
1016600,10768,11024
1017788,10792,11028
1018979,10800,11060
1020174,10808,11104
1021403,10956,11448
1022635,10972,11480
1023840,10836,11192
1025049,10840,11240
1026262,10852,11280
1027478,10856,11324
1028699,10876,11372
1029922,10876,11384
1031144,10864,11380
1032366,10860,11360
1033582,10836,11324
1034791,10744,11248
1035992,10772,11164
1037182,10740,11064
1038384,10712,11172
1039608,10676,11396
1040874,10768,11812
1042190,10564,12316
1043604,10644,13308
1045073,10372,13852
1046618,10244,14612
1048205,10108,15012
1049807,10140,15176
1051458,10352,15660
1053075,10216,15320
1054698,10228,15396
1056328,10236,15452
1057962,10256,15500
1059600,10284,15532
1061241,10468,15572
1062883,10284,15568
1064521,10276,15548
1066156,10244,15500
1067790,10244,15488
1069463,10400,15888
1071087,10172,15388
1072701,10108,15300
1074255,10152,14704
1075663,10380,13232
1076934,10568,11872
1078144,10692,11256
1079336,10768,11068
1080540,10788,11184
1081750,10840,11256
1082957,10848,11228
1084156,10820,11144
1085347,10812,11060
1086532,10812,11020
1087715,10808,10976
1088894,10796,10952
1090072,10808,10932
1091247,10800,10908
1092422,10820,10904
1093596,10824,10896
1094778,10972,10900
1095952,10788,10896
1097127,10820,10904
1098302,10840,10908
1099478,10824,10908
1100653,10840,10908
1101828,10828,10908
1103002,10820,10896
1104176,10824,10896
1105351,10808,10904
1106524,10812,10896
1107698,10812,10888
1108872,10800,10896
1110047,10808,10904
1111222,10800,10912
1112399,10816,10916
1113577,10812,10936
1114757,10808,10948
1115932,10800,10912
1117113,10820,10956
1118294,10824,10968
1119478,10808,10988
1120661,10828,10996
1121844,10820,10992
1123030,10844,11008
1124216,10840,11020
1125404,10840,11024
1126590,10840,11020
1127777,10848,11016
1128962,10856,11008
1130146,10864,11008
1131330,10856,10992
1132513,10852,10992
1133697,10828,10984
1134879,10896,10980
1136060,10928,10956
1137238,10948,10948
1138420,10960,10944
1139597,10940,10924
1140787,11048,10944
1141983,11116,10948
1143190,11224,10976
1144408,11340,11004
1145634,11424,11052
1146874,11540,11124
1148124,11656,11292
1149390,11816,11592
1150687,12120,12064
1152036,12588,12644
1153451,13140,13308
1154943,13940,14080
1156512,14764,14832
1158115,15076,15200
1159724,15064,15244
1161344,15108,15340
1162966,15124,15372
1164589,15124,15388
1166212,15112,15392
1167878,15272,15796
1169501,15084,15392
1171123,15068,15380
1172745,15048,15372
1174369,15044,15388
1175991,15044,15376
1177612,15028,15364
1179232,15036,15368
1180852,15020,15344
1182472,15008,15348
1184091,15016,15348
1185701,15028,15256
1187317,15016,15324
1188937,15036,15344
1190555,15024,15336
1192171,15016,15308
1193782,15016,15264
1195361,14928,14940
1196832,13880,13316
1198166,12484,11512
1199410,11592,10976
1200609,11132,11148
1201810,11036,11168
1202996,10936,11008
1204164,10836,10808
1205314,10664,10580
1206459,10596,10596
1207563,10192,10080
1208638,9992,9880
1209696,9808,9712
1210739,9672,9588
1211794,9608,9776
1212827,9556,9500
1213864,9592,9512
1214900,9596,9496
1215938,9620,9516
1216980,9640,9532
1218023,9672,9560
1219075,9744,9616
1220134,9816,9692
1221203,9932,9776
1222288,10036,9872
1223383,10136,9968
1224493,10260,10080
1225614,10372,10188
1226750,10504,10284
1227897,10616,10392
1229053,10720,10480
1230214,10776,10536
1231376,10768,10520
1232538,10792,10548
1233704,10816,10588
1234866,10768,10616
1236031,10816,10648
1237199,10816,10692
1238368,10852,10752
1239543,10908,10840
1240724,10964,10904
1241906,10980,10924
1243090,10992,10948
1244275,11004,10964
1245461,11020,10976
1246648,11028,10988
1247837,11044,11016
1249028,11060,11048
1250220,11072,11072
1251414,11084,11100
1252610,11092,11120
1253808,11104,11132
1255006,11116,11144
1256206,11120,11160
1257440,11280,11488
1258642,11132,11176
1259844,11140,11168
1261045,11152,11168
1262247,11168,11168
1263479,11344,11468
1264700,11360,11200
1265937,11536,11372
1267194,11712,11576
1268473,11940,11828
1269804,12468,12392
1271214,13212,13256
1272721,14068,14236
1274331,15220,15248
1276007,15912,15684
1277674,15816,15800
1279338,15804,15792
1281018,15900,15956
1282743,15900,16408
1284426,15892,15976
1286109,15892,15980
1287792,15880,15976
1289473,15896,15972
1291152,15900,15956
1292835,15920,15976
1294516,15900,15968
1296199,15896,15980
1297879,15900,15956
1299560,15900,15968
1301240,15896,15948
1302918,15896,15940
1304604,16008,15836
1306288,16000,15780
1307969,15964,15812
1309646,15928,15756
1311307,15768,15388
1312853,14624,13856
1314270,13316,12244
1315560,12052,11388
1316785,11400,11264
1318012,11248,11432
1319256,11392,11588
1320499,11372,11584
1321730,11324,11480
1322951,11264,11360
1324167,11240,11308
1325381,11264,11292
1326589,11236,11236
1327796,11224,11208
1329004,11240,11168
1330210,11216,11128
1331414,11204,11088
1332618,11204,11060
1333822,11200,11028
1335038,11324,11324
1336241,11184,11016
1337442,11172,10992
1338646,11184,10976
1339848,11184,10960
1341050,11172,10936
1342251,11168,10920
1343450,11144,10916
1344666,11304,11204
1345864,11132,10856
1347058,11104,10828
1348251,11092,10796
1349445,11088,10760
1350636,11076,10752
1351827,11056,10720
1353017,11048,10700
1354204,11036,10688
1355406,11172,10656
1356590,10996,10612
1357771,10968,10588
1358953,10980,10580
1360134,10968,10572
1361316,10980,10588
1362501,11008,10632
1363691,11040,10684
1364880,11048,10688
1366066,11024,10604
1367244,10940,10468
1368414,10856,10300
1369574,10752,10068
1370724,10664,10020
1371881,10740,9908
1373016,10556,9804
1374147,10504,9740
1375274,10456,9652
1376396,10416,9592
1377515,10380,9536
1378630,10352,9488
1379743,10320,9444
1380853,10292,9412
1381960,10264,9388
1383067,10252,9360
1384170,10224,9340
1385272,10212,9308
1386372,10196,9276
1387472,10184,9268
1388567,10140,9208
1389662,10140,9220
1390755,10128,9196
1391848,10116,9184
1392937,10088,9168
1394026,10088,9156
1395114,10060,9140
1396200,10064,9136
1397286,10040,9112
1398370,10036,9116
1399455,10048,9104
1400539,10036,9104
1401623,10032,9084
1402707,10032,9084
1403791,10036,9088
1404876,10032,9084
1405958,10020,9100
1407034,9996,9104
1408118,10036,9104
1409202,10032,9104
1410286,10028,9116
1411370,10032,9112
1412455,10048,9116
1413540,10036,9116
1414625,10048,9116
1415724,10184,9388
1416808,10040,9120
1417893,10048,9116
1418979,10048,9128
1420065,10060,9128
1421152,10060,9140
1422240,10076,9168
1423331,10104,9196
1424426,10144,9240
1425538,10304,9556
1426641,10224,9360
1427752,10308,9456
1428875,10416,9564
1430010,10544,9720
1431161,10704,9880
1432332,10864,10068
1433522,11052,10276
1434731,11248,10496
1435963,11476,10704
1437218,11696,10960
1438501,11992,11272
1439817,12324,11636
1441175,12732,12072
1442579,13188,12576
1444034,13708,13176
1445552,14340,13872
1447142,15040,14596
1448797,15700,15232
1450494,16124,15764
1452247,16688,16228
1454042,17116,16664
1455906,17780,17588
1457782,17912,17472
1459673,18064,17756
1461607,18492,18076
1463572,18812,18420
1465575,19176,18872
1467619,19596,19368
1469707,20036,19940
1471851,20476,20604
1474080,21028,21440
1476401,21740,22364
1478909,22760,24236
1481738,24636,27452
1485159,29880,33364
1489574,39452,43296
1494434,44760,47768
1499181,43696,46612
1504027,44584,47616
1509031,46184,49204
1514213,47728,50952
1519183,45796,48856
1524260,46644,49924
1529366,46884,50204
1534330,45752,48800
1539315,45360,48984
1544046,43660,46472
1548209,38460,40780
1551585,30960,32908
1554351,25228,26812
1556715,22048,22792
1558894,20680,20948
1560963,19856,19840
1562966,19172,19036
1564900,18484,18264
1566768,17848,17552
1568583,17292,16892
1570345,16780,16308
1572058,16288,15760
1573728,15844,15232
1575342,15300,14756
1576927,15008,14324
1578474,14620,13896
1579985,14264,13548
1581461,13924,13208
1582912,13652,12888
1584333,13372,12616
1585730,13132,12720
1587127,13120,12176
1588488,12768,11984
1589825,12532,11820
1591176,12660,12044
1592499,12388,11596
1593815,12304,11516
1595120,12216,11440
1596421,12160,11364
1597712,12072,11296
1598996,11984,11200
1600272,11924,11140
1601542,11848,11068
1602803,11760,10976
1604053,11664,10884
1605295,11576,10796
1606529,11496,10700
1607752,11400,10616
1608968,11312,10528
1610176,11228,10440
1611376,11152,10368
1612566,11068,10284
1613748,10964,10188
1614918,10856,10092
1616075,10760,9992
1617221,10652,9856
1618356,10540,9736
1619480,10428,9600
1620592,10320,9484
1621694,10212,9376
1622788,10128,9276
1623875,10060,9196
1624957,10024,9132
1626038,10000,9096
1627113,9980,9072
1628188,9976,9076
1629261,9968,9060
1630333,9944,9052
1631405,9952,9052
1632477,9948,9056
1633547,9936,9044
1634618,9936,9044
1635689,9936,9032
1636758,9936,9032
1637830,9936,9044
1638899,9924,9044
1639969,9932,9032
1641039,9940,9032
1642111,9940,9040
1643180,9924,9044
1644250,9932,9040
1645320,9940,9048
1646391,9940,9048
1647461,9940,9048
1648533,9952,9060
1649605,9952,9052
1650678,9968,9060
1651750,9948,9060
1652823,9968,9060
1653896,9960,9072
1654967,9952,9060
1656042,9972,9072
1657115,9964,9088
1658192,9984,9084
1659267,9992,9088
1660348,10000,9088
1661422,9968,9088
1662503,10000,9100
1663584,10004,9100
1664660,9992,9100
1665741,10004,9100
1666822,10008,9076
1667904,10008,9116
1668984,10004,9112
1670067,10012,9120
1671149,10020,9124
1672234,10028,9128
1673320,10068,9148
1674408,10076,9156
1675512,10220,9432
1676601,10088,9152
1677690,10088,9168
1678782,10096,9168
1679872,10104,9168
1680963,10100,9168
1682052,10084,9176
1683143,10100,9168
1684232,10088,9168
1685322,10092,9176
1686411,10092,9116
1687501,10088,9168
1688591,10088,9168
1689680,10088,9168
1690769,10088,9168
1691858,10092,9156
1692948,10088,9156
1694038,10084,9156
1695125,10080,9160
1696214,10072,9160
1697300,10060,9156
1698387,10064,9144
1699472,10040,9140
1700547,9980,9072
1701620,9964,9088
1702686,9896,9032
1703749,9860,8984
1704816,9896,9016
1705873,9816,8940
1706930,9796,8936
1707986,9788,8940
1709039,9776,8908
1710107,9900,9212
1711160,9772,8948
1712216,9788,8948
1713272,9796,8960
1714329,9800,8964
1715386,9800,8976
1716441,9780,8972
1717507,9888,9236
1718560,9772,8992
1719615,9760,8984
1720666,9748,8980
1721719,9772,8992
1722776,9808,9012
1723839,9852,9048
1724908,9924,9092
1725984,9960,9088
1727056,9972,9092
1728130,9960,9100
1729204,9976,9084
1730277,9960,9068
1731352,9980,9072
1732434,10000,9080
1733516,10020,9060
1734600,10036,9060
1735682,10004,9032
1736768,10064,9008
1737858,10084,9264
1738945,10076,8976
1740037,10104,8928
1741128,10108,8936
1742210,10020,8908
1743304,10132,8916
1744396,10108,8912
1745487,10104,8908
1746578,10108,8880
1747666,10080,8884
1748757,10104,8868
