,Point,X,Y,Phi
0,0.0,0.0,0.0,0.0
1,1.0,-0.18,217.65,1.09
2,2.0,-53.99,167.47,3.05
3,3.0,-48.08,-132.85,4.16
4,4.0,227.95,-230.96,5.38
5,5.0,296.45,-83.59,0.74
6,6.0,131.49,-13.94,2.19
7,7.0,-128.32,-241.0,3.28
8,8.0,-65.67,-398.62,4.72
9,9.0,4.86,-318.11,0.25
10,10.0,-24.64,121.75,0.91
11,11.0,-162.32,138.25,2.53
12,12.0,-154.93,4.99,4.27
13,13.0,175.94,-259.5,4.91
14,14.0,181.73,-222.03,0.54
15,15.0,84.02,-125.33,2.03
16,16.0,-91.6,-243.32,3.32
17,17.0,13.1,-497.28,4.51
18,18.0,217.03,-452.0,-0.22
19,19.0,200.46,-266.06,1.3
20,20.0,-17.78,-253.26,2.63
21,21.0,-94.65,-516.74,3.92
22,22.0,39.4,-613.02,5.32
23,23.0,68.82,-495.83,0.78
24,24.0,-136.25,-164.29,1.5
25,25.0,-271.67,-234.48,3.11
26,26.0,-218.04,-362.71,4.68
27,27.0,101.9,-299.86,-0.42
28,28.0,207.93,-38.0,0.72
29,29.0,123.63,-57.63,2.69
